,Image,Accuracy,F1,Jaccard,Recall,Precision
95,DSB\images\aa58ba4512955771b4f9b459cb4e6a8adb71d11cd6cae662ec2df31d688a5fe0.jpg,0.92767333984375,0.8063567284908899,0.6755424738175098,0.7354497354497355,0.8923953341170088
96,DSB\images\4c032609d377bd980e01f888e0b298600bf8af0e33c4271a1f3aaf76964dce06.jpg,0.917327880859375,0.8154003407155025,0.6883341003221353,0.6884133011160971,0.9998328877005348
97,DSB\images\7f4d7b549d0f1a110191e2aded872943d85892bc30667f19fe9de97a5370b08e.jpg,0.9980010986328125,0.9556683587140441,0.915100453661698,0.9592391304347826,0.952124072825354
98,DSB\images\942d56861fc83e195e9c559a000bb86627d8682f8dcc2300818458e5b6850dd0.jpg,0.9680023193359375,0.9072164948453608,0.8301886792452831,0.9290439510647939,0.8863911464637731
99,DSB\images\4d40de30a3db3bc4f241cb7f48e8497c11e8f20a99bf55788bdce17242029745.jpg,0.992523193359375,0.9237710018668326,0.8583405608557386,0.9310128566948886,0.9166409385612844
100,DSB\images\3bfd6bb152310f93daa6f4e1867c10572946e874b3a30c9ba8e0fcdeb590300b.jpg,0.9538421630859375,0.810261556796086,0.6810417545339519,0.6836367485182049,0.9944572748267898
101,DSB\images\6bd18a218d25247dc456aed124c066a6397fb93086e860e4d04014bfa9c9555d.jpg,0.989776611328125,0.9400286430361618,0.8868434386083431,0.9138531152105813,0.9677478805750093
102,DSB\images\ba3997edd3fcb2f823ecdf870d2b607f08bff848f72a5cf72340bae5aca7c5ce.jpg,0.9889373779296875,0.9411669236387243,0.8888718577559779,0.9526860522424839,0.9299230275817832
103,DSB\images\23830d0e51245fc0c9e410efa4c17d2a7d83a0104a3777130119ab892de47a4e.jpg,0.9716033935546875,0.8981334501067383,0.8151018380526577,0.9303696983442957,0.8680562903396466
104,DSB\images\2e2d29fc44444a85049b162eb359a523dec108ccd5bd75022b25547491abf0c7.jpg,0.8923187255859375,0.7322939190470771,0.5776527619845592,0.5836255895513364,0.9825918762088974
105,DSB\images\245b995878370ef4ea977568b2b67f93d4ecaa9308761b9d3e148e0803780183.jpg,0.836456298828125,0.7193212172000211,0.5616718468836905,0.5726556310720093,0.9669788072942336
106,DSB\images\564fa390d9a9c26f986bf860d9091cbd84244bc1c8e3c9369f2f2e5b5fd99b92.jpg,0.98614501953125,0.9160502958579881,0.8451040600477653,0.9463228271251194,0.8876545421967389
107,DSB\images\ff3e512b5fb860e5855d0c05b6cf5a6bcc7792e4be1f0bdab5a00af0e18435c0.jpg,0.9941864013671875,0.8955305730737593,0.810824230387289,0.8230846774193549,0.9819603126879134
